_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;TOT_FEMALE_TEACHERS;LOCATION_LNG;SS01_BOYS_LATRINE;LOCATION_LAT;TOT_FEMALE_STUDENTS;TYPE_OF_WATER_SOURCE;STATUS;SCHOOL_REF;LOCATION_ALT;SS01_GIRLS_LATRINE;LOCATION_ACC;TOT_MALE_TEACHERS;NO_OF_GIRLS_TOILET_BY_OTHERS;SS03;TOT_MALE_STUDENTS;SS02;SS04;NO_OF_GIRLS_TOILET_BY_BRAC;psu;sl_no;sn;ID;district;upazila;union;name_lnstitute;girlsonly;female/male teacher;female/male students
enamul;44:32,0;0;44:32,0;0;0;1;44:32,0;44:32,0;7;89,2157201;F;25,3013962;378;D;0;229276;0;A;3526;13;0;A;0;B;A;2;29;84;276;229276;Dinajpur;Ghoraghat;Pouroshova;Ghoraghat R C high school;0;0,54;
bari;47:57,0;0;47:57,0;0;0;1;47:57,0;47:57,0;10;0;A;0;505;D;0;219195;0;A;0;10;0;A;595;B;B;2;19;56;195;219195;Khulna;Dighalia;Senhati;Star Jute Mills High School;0;1;0,848739496
bari;07:38,0;0;07:38,0;0;0;1;07:38,0;07:38,0;3;0;A;0;120;E;0;219200;0;A;0;6;0;A;165;B;B;2;19;56;200;219200;Khulna;Dighalia;Dighalia;Sughandhi High School;0;0,5;0,727272727
bari;32:20,0;0;32:20,0;0;0;1;32:20,0;32:20,0;5;0;F;0;250;E;0;219201;0;A;0;6;0;B;0;B;B;2;19;56;201;219201;Khulna;Dighalia;Dighalia;Aytunnecha Girls High School;1;0,83;
kamruzzaman;17:29,0;0;17:29,0;0;0;1;17:29,0;17:29,0;2;89,5052549;B;22,7306994;346;B;0;220210;0;A;3270;9;0;A;367;A;A;2;20;60;210;220210;Khulna;Batiaghata;Batiaghata;B.H.M.H Girls High School;1;0,22;0,942779292
alauddin;19:13,0;0;19:13,0;0;0;1;19:13,0;19:13,0;0;92,1564272;C;24,8364467;164;D;0;215161;0;A;2885;8;0;E;103;B;B;2;15;45;161;215161;Sylhet;Beanibazar;Kurarbazar;Doulgram High School;0;0;1,59223301
alauddin;19:13,0;0;19:13,0;0;0;1;19:13,0;19:13,0;0;92,1564272;C;24,8364467;377;D;0;215158;0;C;2885;11;0;E;264;C;B;2;15;45;158;215158;Sylhet;Beanibazar;Tilpara;Dasura High School;0;0;1,428030303
habibur;27:54,0;0;27:54,0;0;0;1;27:54,0;27:54,0;3;89,3630668;C;25,9166366;119;D;0;210319;0;C;3014;11;0;C;129;C;C;2;10;29;319;210319;Lalmonirhat;Aditmari;Durgapur;Lalmonirhat Adhasha Dhakhil Mardasha;0;0,27;0,92248062
amit;50:18,0;0;50:18,0;0;0;1;50:18,0;50:18,0;3;0;F;0;296;D;0;231304;0;B;0;11;1;A;0;C;B;2;31;92;304;231304;Nilphamari;Domar;Panga;Panga Girls School;1;0,27;
kamrul;44:48,0;0;44:48,0;0;0;1;44:48,0;44:48,0;2;0;A;0;165;D;0;248097;0;A;0;9;0;A;146;B;B;2;48;144;97;248097;Chittagong;Rangunia;Shilok;M Shahalam Chow. High School(Co-Ed);0;0,22;1,130136986
kamruzzaman;41:07,0;0;41:07,0;0;0;1;41:07,0;41:07,0;2;89,2348524;B;23,0060951;346;B;0;220205;0;A;3627;9;0;A;367;A;A;2;20;60;205;220205;Khulna;Batiaghata;Amirpur;Kharabad Baintala School and College;0;0,22;0,942779292
ranjan;42:21,0;0;42:21,0;0;0;1;42:21,0;42:21,0;3;89,6245158;C;22,6047415;205;C;0;234221;0;C;4701;8;2;E;187;C;D;2;34;102;221;234221;Bagerhat;Rampal;Rampal;JhanJhania High School;0;0,38;1,096256684
kamrul;59:40,0;0;59:40,0;0;0;1;59:40,0;59:40,0;2;0;A;0;388;E;0;248090;0;A;0;15;0;A;405;B;B;2;48;144;90;248090;Chittagong;Rangunia;Padua;Sukbilash High School(Co-Ed);0;0,13;0,958024691
amit;19:30,0;0;19:30,0;0;0;1;19:30,0;19:30,0;3;0;C;0;164;D;0;230294;0;A;0;7;0;A;157;B;A;2;30;88;294;230294;Panchagar;Atwari;Merjapur;Mirzapur High School;0;0,43;1,044585987
shahjahan;20:59,0;0;20:59,0;0;0;1;20:59,0;20:59,0;2;0;C;0;110;D;0;204046;0;A;0;7;0;A;21;B;B;2;4;13;46;204046;Gazipur;Kapasia;Durgapur;Nashera High School;0;0,29;5,238095238
