_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;wealth.reported;HH7_FUTURE;LOCATION_LNG;HOUSEHOLD_REF;LOCATION_LAT;STATUS;LOCATION_ALT;HH05;HH04;MEMBER_NO_CHILD_FEMALE;HH06;HH01;LOCATION_ACC;MEMBER_NO_ADOLESCENT_FEMALE;HH03;MEMBER_NO_ADULT_FEMALE;SEX_OF_INTERVIEWEE;HH02;MEMBER_NO_CHILD_MALE;HH07_DONE;MEMBER_NO_ADULT_MALE;MEMBER_NO_ADOLESCENT_MALE;hh0;hh;wealth.reported;psu;AREA;ID;division;district;upazila;union;vwc;ultrapoor;poor;nonpoor;CountSTratWealth;weight
quddus;21:55,0;0;21:55,0;0;0;1;21:55,0;21:55,0;up;A;89,0502209;10303;23,4292637;0;0;A;A;1;B;C;4816;0;D;2;F;C;0;0;1;0;0;3;up;1;1;10303;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;3,888888889
quddus;25:32,0;0;25:32,0;0;0;1;25:32,0;25:32,0;up;A;89,0502209;10301;23,4292637;0;0;A;A;0;C;D;4816;1;D;2;F;C;1;0;1;0;0;1;up;1;1;10301;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;3,888888889
quddus;05:09,0;0;05:09,0;0;0;1;05:09,0;05:09,0;pp;;89,0502209;10311;23,4292637;0;0;A;A;1;C;D;4816;0;B;1;F;C;1;C;1;0;;11;pp;1;1;10311;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;4,222222222
quddus;09:56,0;0;09:56,0;0;0;1;09:56,0;09:56,0;up;;89,0502209;10302;23,4292637;0;0;A;A;0;D;D;4816;1;D;1;F;D;1;A;1;0;0;2;up;1;1;10302;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;3,888888889
quddus;34:10,0;0;34:10,0;0;0;1;34:10,0;34:10,0;up;;89,0502209;10307;23,4292637;0;0;A;A;0;D;C;4816;0;D;2;F;D;0;C;2;1;0;7;up;1;1;10307;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;3,888888889
quddus;38:09,0;0;38:09,0;0;0;1;38:09,0;38:09,0;up;C;89,0502209;10306;23,4292637;0;0;A;A;0;C;D;4816;0;D;2;M;C;0;0;1;2;0;6;up;1;1;10306;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;3,888888889
quddus;50:28,0;0;50:28,0;0;0;1;50:28,0;50:28,0;np;C;89,0502209;10322;23,4292637;0;0;A;A;2;B;B;4816;0;A;1;F;A;0;0;1;0;;22;np;1;1;10322;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;15,22222222
quddus;53:56,0;0;53:56,0;0;0;1;53:56,0;53:56,0;up;C;89,0502209;10310;23,4292637;0;0;A;A;0;C;D;4816;0;B;1;F;C;0;0;1;1;;10;pp;1;1;10310;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;4,222222222
quddus;08:54,0;0;08:54,0;0;0;1;08:54,0;08:54,0;np;C;89,0502209;10327;23,4292637;0;0;A;A;0;C;D;4816;0;B;1;F;C;2;0;1;0;;27;np;1;1;10327;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;15,22222222
quddus;17:10,0;0;17:10,0;0;0;1;17:10,0;17:10,0;np;;89,0502209;10321;23,4292637;0;0;A;A;0;C;C;4816;1;B;2;F;C;0;C;1;1;;21;np;1;1;10321;;Jhenidah;Kotchandpur;Kushna;Talina-1;35;38;137;9;15,22222222
sanjoy;12:40,0;0;12:40,0;0;0;1;12:40,0;12:40,0;up;C;89,0377039;30309;22,8657239;0;0;A;B;0;D;C;2485;1;D;1;F;C;2;0;1;0;0;9;up;3;1;30309;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;27:24,0;0;27:24,0;0;0;1;27:24,0;27:24,0;up;;89,0377039;30302;22,8657239;0;0;A;B;1;D;A;2485;0;A;1;F;B;1;B;1;0;0;2;up;3;1;30302;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;46:35,0;0;46:35,0;0;0;1;46:35,0;46:35,0;up;C;89,0377039;30303;22,8657239;0;0;A;B;0;B;A;2485;0;B;2;F;B;1;0;1;0;0;3;up;3;1;30303;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;50:12,0;0;50:12,0;0;0;1;50:12,0;50:12,0;up;C;89,0377039;30305;22,8657239;0;0;A;D;0;D;C;2485;0;C;2;F;C;0;0;0;0;0;5;up;3;1;30305;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;53:40,0;0;53:40,0;0;0;1;53:40,0;53:40,0;up;;89,0377039;30306;22,8657239;0;0;A;B;0;D;B;2485;1;C;1;F;B;2;C;2;0;0;6;up;3;1;30306;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;56:35,0;0;56:35,0;0;0;1;56:35,0;56:35,0;up;C;89,0377039;30301;22,8657239;0;0;A;B;0;C;B;2485;0;B;2;M;B;1;0;2;0;0;1;up;3;1;30301;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;24:57,0;0;24:57,0;0;0;1;24:57,0;24:57,0;pp;C;89,15584915;30310;22,90553639;0;-58;A;B;0;D;A;25;0;D;1;F;B;0;0;1;1;;10;pp;3;1;30310;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;9,888888889
sanjoy;25:03,0;0;25:03,0;0;0;1;25:03,0;25:03,0;up;C;89,15585103;30304;22,90541684;0;-48;A;B;0;B;A;20;0;B;1;F;B;0;0;1;0;0;4;up;3;1;30304;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;59:40,0;0;59:40,0;0;0;1;59:40,0;59:40,0;up;C;89,0423948;30308;22,8530482;0;0;A;B;0;B;A;2322;1;B;1;F;A;0;0;1;0;0;8;up;3;1;30308;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
sanjoy;57:38,0;0;57:38,0;0;0;1;57:38,0;57:38,0;up;C;89,0474323;30307;22,8090767;0;0;A;B;0;C;E;3915;2;A;3;M;E;1;0;1;0;0;7;up;3;1;30307;;Satkhira;Kolaroa;Kalia;Kumanrol;40;89;71;9;4,444444444
rezaul;35:24,0;0;35:24,0;0;0;1;35:24,0;35:24,0;up;C;0;50303;0;0;0;A;B;0;C;C;0;0;B;1;F;C;1;0;1;1;0;3;up;5;1;50303;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;37:13,0;0;37:13,0;0;0;1;37:13,0;37:13,0;pp;;0;50314;0;0;0;A;B;0;C;D;0;1;B;1;F;D;0;C;2;0;;14;pp;5;1;50314;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
rezaul;38:57,0;0;38:57,0;0;0;1;38:57,0;38:57,0;pp;;0;50317;0;0;0;A;B;1;B;A;0;1;B;2;F;D;2;C;2;0;;17;pp;5;1;50317;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
rezaul;40:19,0;0;40:19,0;0;0;1;40:19,0;40:19,0;pp;;0;50318;0;0;0;A;A;0;C;C;0;0;B;1;F;C;1;C;3;0;;18;pp;5;1;50318;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
rezaul;46:08,0;0;46:08,0;0;0;1;46:08,0;46:08,0;up;B;0;50302;0;0;0;A;B;0;C;C;0;0;A;1;F;C;1;0;2;0;0;2;up;5;1;50302;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;47:44,0;0;47:44,0;0;0;1;47:44,0;47:44,0;up;;0;50306;0;0;0;A;B;0;C;C;0;1;B;1;F;D;1;C;1;1;0;6;up;5;1;50306;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;49:08,0;0;49:08,0;0;0;1;49:08,0;49:08,0;up;A;0;50307;0;0;0;A;B;1;C;C;0;0;A;2;F;D;0;0;1;1;0;7;up;5;1;50307;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;50:19,0;0;50:19,0;0;0;1;50:19,0;50:19,0;up;C;0;50309;0;0;0;A;A;1;A;A;0;1;B;1;F;A;1;0;1;1;0;9;up;5;1;50309;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;1,444444444
rezaul;51:43,0;0;51:43,0;0;0;1;51:43,0;51:43,0;pp;C;0;50311;0;0;0;A;B;0;C;C;0;1;B;2;F;C;1;0;1;1;;11;pp;5;1;50311;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
rezaul;53:01,0;0;53:01,0;0;0;1;53:01,0;53:01,0;pp;C;0;50312;0;0;0;A;A;2;B;A;0;0;B;3;F;A;0;0;3;0;;12;pp;5;1;50312;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
rezaul;54:37,0;0;54:37,0;0;0;1;54:37,0;54:37,0;pp;;0;50315;0;0;0;A;A;1;A;A;0;0;B;3;F;A;1;C;3;1;;15;pp;5;1;50315;;Manikgonj;Singair;Joymontop;Char Durgapur-2;13;91;100;9;10,11111111
