_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;LOCATION_LNG;LOCATION_LAT;STATUS;LOCATION_ALT;VWC_REF;VWC_ESTABLISHED_YEAR;YEAR_OF_SOCIAL_MAP_MADE;HH_CENSUS_UP;HH_INEND12_UP;HH_CENSUS_PP;HH_INEND12_PP;TOT_NO_OF_HH_CENSUS2008OR12_NP;TOT_NO_OF_HH_INEND12_NP;Ratio NP / UP+P;TOTAL_NO_OF_FEMALE_MEMBER_START;TOTAL_NO_OF_FEMALE_MEMBER_NOW;TOTAL_NO_OF_MALE_MEMBER_START;TOTAL_NO_OF_MALE_MEMBER_NOW;IS_ARSENIC_PRONE_AREA;WATER_SUPPORT_VWC_TUBEWELL_BRAC;WATER_SUPPORT_VWC_TUBEWELL_OTHER;WATER_SUPPORT_VWC_DEEPTUBEWELL_BRAC;WATER_SUPPORT_VWC_DEEPTUBEWELL_OTHER;WATER_SUPPORT_VWC_SANDPONDFILTER_BRAC;WATER_SUPPORT_VWC_SANDPONDFILTER_OTHER;WATER_SUPPORT_VWC_NOTAPPLICABLE_BRAC;WATER_SUPPORT_VWC_NOTAPPLICABLE_OTHER;VWC01;VWC02;VWC03_SCORE_AGREED;VWC03_SCORE_MEN;VWC03_SCORE_WOMEN;LOCATION_ACC;NAME_INVIEWER1;NAME_INVIEWER2;SEX_INTERVIEWER2;SEX_INTERVIEWER1;hh0;hh;wealth;select0;select;psu;psu0;psu1;PSU2;id;district;upazila;union;vwc;ultrapoor;poor;nonpoor;totalHH;%up;%p;%np;weight_up;Weight_p;weight_np
alauddin;09:58,0;0;09:58,0;0;0;1;09:58,0;09:58,0;92,416011;24,9517624;0;0;5830100;2012;2012;30;30;120;120;60;60;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;D;D;D;3907;Alauddin;Shabelabegum;F;M;0;0;up;0;1;83;5;83;2;5830100;Sylhet;Zokigonj;Manikpur;Topkana;30;120;60;210;14%;57%;29%;;;
milon;45:48,0;0;45:48,0;0;0;1;45:48,0;45:48,0;0;0;0;0;5080200;2008;2008;8;0;51;0;107;0;NP;6;6;5;5;No;No;No;No;Yes;No;No;0;0;D;B;A;A;A;0;Milon;Tuli;F;M;0;0;up;0;2;8;50;8;1;5080200;Rajbari;Rajbari sadar;Sultanpur;Jaldia;8;51;107;166;5%;31%;64%;;;
rezaul;56:34,0;0;56:34,0;0;0;1;56:34,0;56:34,0;0;0;0;0;5740300;2012;2012;32;0;67;0;170;0;NP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;C;C;C;C;0;Md.rejaul karim;Fulmala akter;F;M;0;0;up;0;3;74;5;74;2;5740300;Chandpur;Matlab South;Matlab Pourashava;Nolua-2;32;66;171;269;12%;25%;64%;;;
enamul;52:59,0;0;52:59,0;0;0;1;52:59,0;52:59,0;88,4676673;25,7945612;0;0;5280300;2007;2007;138;0;4;0;66;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;B;C;A;A;A;3799;Enamul;Parul;F;M;0;0;up;0;3;28;5;28;1;5280300;Dinajpur;Bochaganj;Atgaon;Boruya Malgaon;104;41;63;208;50%;20%;30%;;;
alim;19:12,0;0;19:12,0;0;0;1;19:12,0;19:12,0;0;0;0;0;5440100;2007;2007;21;0;25;0;120;0;NP;6;6;5;5;No;Yes;0;No;0;No;0;0;0;A;A;A;A;A;0;Alimuddin;Shabiha;F;M;0;0;up;0;1;44;5;44;1;5440100;Natore;Natore Sadar;Biprobelghoria;Merjapur Vega-2;21;25;120;166;13%;15%;72%;;;
shahjahan;15:55,0;0;15:55,0;0;0;1;15:55,0;15:55,0;0;0;0;0;5040100;2008;2008;2;0;117;0;81;0;PP&UP;6;6;5;5;No;Yes;No;No;No;No;No;No;Yes;A;A;A;A;A;0;Shahajan;Fatema;F;M;0;0;up;0;1;4;50;4;1;5040100;Gazipur;Kapasia;Ghagotia;Bagua-07;2;76;122;200;1%;38%;61%;;;
quddus;10:50,0;0;10:50,0;0;0;1;10:50,0;10:50,0;89,2123242;22,8960553;0;0;5180300;2007;2007;28;0;91;0;141;0;NP;6;6;5;5;Yes;0;No;0;Yes;0;No;0;0;D;B;A;A;A;3648;Abdul.quddus.;Sumitra kormoker.;F;M;0;0;up;0;3;18;5;18;1;5180300;Jessore;Keshabpur;Sagordari;Chingra-4;28;91;141;260;11%;35%;54%;;;
kamrul;03:01,0;0;03:01,0;0;0;1;03:01,0;03:01,0;0;0;0;0;5480100;2007;2007;49;0;33;0;230;0;NP;6;6;5;5;No;Yes;No;No;No;No;No;0;0;A;C;A;A;A;0;Kamrul islam;Babi borua;F;M;0;0;up;0;1;48;5;48;1;5480100;Chirtagong;Rangunia;Shilok;Raja para 2;49;33;230;312;16%;11%;74%;;;
shahidul;51:36,0;0;51:36,0;0;0;1;51:36,0;51:36,0;90,90827695;24,13635555;0;100;5870200;2012;2012;30;30;71;71;14;14;PP&UP;6;6;5;5;No;No;No;No;No;No;No;0;0;D;B;A;A;A;300;Shahidul;Shefali;F;M;0;0;up;0;2;87;5;87;2;5870200;Kishoregonj;Kuliarchor;Chhaysuti;Nijgoan;30;6;79;115;26%;5%;69%;;;
ranjan;22:10,0;0;22:10,0;0;0;1;22:10,0;22:10,0;89,2512131;22,7673086;0;0;5630100;2012;2012;71;0;25;0;44;0;PP&UP;6;6;5;5;Yes;No;No;No;No;No;No;0;0;D;C;D;D;D;4114;Ranjanbanerjee;Barnali;F;M;0;0;up;0;1;63;5;63;2;5630100;Satkhira;Tala;Magura;Baliadoha-3;71;23;46;140;51%;16%;33%;;;
