_CREATOR_URI_USER;_CREATION_DATE;_LAST_UPDATE_URI_USER;_LAST_UPDATE_DATE;_MODEL_VERSION;_UI_VERSION;_IS_COMPLETE;_SUBMISSION_DATE;_MARKED_AS_COMPLETE_DATE;DIS_BW_UPZ_RCS;LOCATION_ACC;LOCATION_LNG;ORIENTATION_SUP_REC_FBRAC;LOCATION_LAT;RSC01;STATUS;MAX_ESTM_TRAVEL_TIME;LOCATION_ALT;RSC_REF;FINANCIAL_SUP_REC_FBRAC;psu;area;sl_no;rscnr;ID;district;upazila;union;rsc;loan
swapon;03:32,0;0;03:32,0;0;0;1;03:32,0;03:32,0;6;3578;89,8659194;Yes;22,9135752;B;0;30;0;139396;Yes;39;1;117;396;139396;Gopalgonj;Tungipara;Patgati;Tabia Sanitary;1
shahidul;03:09,0;0;03:09,0;0;0;1;03:09,0;03:09,0;1;35;90,68234645;Yes;24,3184978;B;0;90;-58;136367;Yes;36;1;108;367;136367;Kishoregonj;Pakundia;Pakundia;Maa Dalai karkhana;1
amit;06:04,0;0;06:04,0;0;0;1;06:04,0;06:04,0;7;0;0;No;0;B;0;80;0;132337;No;32;1;94;337;132337;Nilphamari;Syedpur;Saidpur Pouroshova;M/S Abdul Aziz Sanitation Centre;0
rezaul;33:08,0;0;33:08,0;0;0;1;33:08,0;33:08,0;0;0;0;Yes;0;E;0;0;0;105071;No;5;1;16;71;105071;Manikgonj;Singair;Talebpur;Abdul Jalil Sanatary;0
shahjahan;41:49,0;0;41:49,0;0;0;1;41:49,0;41:49,0;6;0;0;Yes;0;C;0;120;0;107059;Yes;7;1;21;59;107059;Gazipur;Kaligonj;Mokatar pur;M/S Abdullah Enterprise;1
amit;54:55,0;0;54:55,0;0;0;1;54:55,0;54:55,0;10;2331;88,9111791;Yes;25,7855721;B;0;120;0;132341;No;32;1;94;341;132341;Nilphamari;Syedpur;Saidpur Pouroshova;M/S Wahedul Sanitary Centre;0
aman;11:38,0;0;11:38,0;0;0;1;11:38,0;11:38,0;0;2346;91,4338489;Yes;23,1137266;E;0;0;0;133127;No;33;1;98;127;133127;Feni;Fulgazi;Amjad Hat;Haque Sanitation Centre;0
aman;49:08,0;0;49:08,0;0;0;1;49:08,0;49:08,0;5;2083;91,4951402;Yes;23,1170448;B;0;120;0;133126;Yes;33;1;98;126;133126;Feni;Fulgazi;Amjad Hat;Pulin Baddhya Sanitation Centre;1
amit;27:13,0;0;27:13,0;0;0;1;27:13,0;27:13,0;9;1625;88,8935982;No;25,7822051;B;0;96;0;132340;No;32;1;94;340;132340;Nilphamari;Syedpur;Saidpur Pouroshova;M/S Alal Uddin Sanitary Centre;0
shahjahan;08:13,0;0;08:13,0;0;0;1;08:13,0;08:13,0;10;0;0;Yes;0;D;0;180;0;107060;Yes;7;1;21;60;107060;Gazipur;Kaligonj;Kaligonj;M/s Abdul Gaffar Sanitation Center;1
