Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Name of the village,HH00:Interview the HH (presence of HH members) ,HHma:Number of adult male ,HHfa:Number of adult  female ,HHmado:Number of Adloscent male ,HHfado:Number of Adloscent female ,HHmh5:Number of male children(>5yrs),HHfH5:Number of female children (>5yrs),HHml5:Number of male children(<=5yrs),HHfl5:Number of female children(<=5yrs),HHmsp:Number of male member who need assistance to access the latrine or defecate in the open ,HHfsp:Number of female member who need assistance to access the latrine or defecate in the open   ,HHsx:Sex of the interviewee,Economic status during data collection,HH01(old): Safe & Protected Main Drinking Water Source(old),HH01(new): Safe & Protected Main Drinking Water Source(new),HH02old: Drinking Water Management from Source to Cup(old),HH02new: Drinking Water Management from Source to Cup(new),HH03old: Quality of Latrine(old),HH03new: Quality of Latrine(new),HH03A:Shared latrine ,HH03B:Type of latrine ,HH3B:Type of Latrine(pls specify),HH04: Latrine use by whom,HH04A:Latrine use_All members,HH05:Latrine use when ,HH06:Hand washing provisions after defaecation ,HH07(dne):Sludge management(done),HH07(ftr):Sludge management(future),Image_water point ,Image (Latrine)
1424333624,24.567899,89.887233,Nabogram -1,yes ,1,1,1,0,1,0,1,0,0,0,female,PP,B,C,B,B,C,C,A,A,,A,yes,B,D,F,A,1409679199896.jpg,1409679270087.jpg
2523778135,22.771519,89.253096,Shapur,yes ,1,1,1,0,1,0,0,0,0,0,female,NP,B,B,A,A,B,A,A,A,,B,yes,A,B,C,,1409722701405.jpg,1409722729715.jpg
1442606233,24.224678,89.078397,vabanipur-2,yes ,1,1,1,1,0,0,0,0,0,0,female,PP,D,D,D,D,D,D,A,A,,B,yes,C,E,D,,1409723107680.jpg,1409723135087.jpg
1455828413,23.756974,89.63569,Roynagar,yes ,0,1,1,0,0,0,0,0,0,0,female,UP,D,D,D,D,A,B,B,B,,B,yes,B,D,C,,1409715453711.jpg,1409715507298.jpg
1405060634,24.930497,90.862765,Soygau,yes ,1,1,0,0,2,0,0,1,0,0,female,NP,A,A,A,A,B,A,A,A,,A,yes,A,B,A,,1409724097359.jpg,1409724359918.jpg
1405060614,24.930497,90.862765,Soygau,yes ,1,1,0,0,0,0,1,0,0,0,female,NP,A,A,A,A,A,A,A,B,,A,yes,A,B,C,,1409725354121.jpg,1409725453837.jpg
1461899131,23.36077,89.328939,Singra,yes ,2,1,0,0,0,0,0,0,0,0,female,NP,B,B,D,C,C,C,A,A,,B,yes,A,C,C,,1409722949610.jpg,1409722879138.jpg
1461899132,23.36077,89.328939,Singra,yes ,1,2,1,0,0,0,0,1,0,0,female,PP,B,B,A,A,B,A,A,A,,B,No,A,C,F,C,1409725142411.jpg,1409725193351.jpg
1424333636,24.575938,89.890553,Nabogram-1,yes ,3,1,0,0,0,0,1,0,0,0,female,NP,C,D,D,D,B,C,A,A,,A,yes,B,B,F,A,1409682445565.jpg,1409682478360.jpg
2523778132,22.768114,89.24483,Shapur,yes ,2,2,0,0,0,0,0,0,0,0,female,NP,C,D,C,D,B,A,A,A,,B,yes,B,B,C,,1409724475953.jpg,1409724502227.jpg
1461899125,23.36077,89.328939,Singra,yes ,2,2,0,0,0,0,0,1,0,1,female,NP,C,D,C,D,D,D,A,A,,B,No,A,D,F,C,1409717356521.jpg,1409717428435.jpg
