Barcode,Latitude/Longitude - Latitude,Latitude/Longitude - Longitude,Furthest distance from RSC to households of the union,"Travel time (to and from) from RSC to ultra poor households of the union ","Support received from the BRAC WASH Programme ","RSC01:Performance of RSC ","Comment (if any) "
105277289,24.318322,90.685824,0,0,A,E,No activity now
103957222,24.441181,90.745112,8,1,B,E,No activity now
103957223,24.425498,90.731453,8,1,B,C,NA
201432190,24.249534,90.800043,5,4,C,B,N/A
200358033,24.202642,90.863998,12,6,C,C,Information collect for ownership
200358032,24.227627,90.862083,9,5,B,D,Information  collect  from  ownership
200358034,24.245591,90.810412,11,6,B,D,Information collect for ownership
201742236,24.140826,90.908009,3,1,B,C,N/A
201742237,24.140826,90.908009,0,0,B,E,N/A
201742238,24.140826,90.908009,6,3,C,C,N/A
201763240,24.187606,90.892531,4,2,B,C,N/ A
201763239,24.185393,90.874187,5,2,C,B,N/A
102839167,24.423674,90.645959,8,3,C,C,NA
201432191,24.210579,90.791968,4,2,B,E,Business closed
104465003,23.433501,90.615554,12,5,B,C,N/A
104466005,23.372776,90.60763,3,2,B,C,o
104466006,23.372776,90.60763,3,2,B,C,o
104465002,23.454796,90.586619,10,3,B,C,o
201449197,24.263328,90.788841,12,3,B,C,NA
101418073,23.202642,90.659939,8,4,C,C,na
201449196,24.263328,90.788841,10,3,C,C,NA
101418070,23.166351,90.648649,6,3,B,C,na
101418071,23.172719,90.656405,6,3,B,E,na
