Sl..No,ID,code128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_VWC,VWC,HH_PSU,wealth,Ultra.poor,Poor,Non.Poor,Total,Remarks,Print Sl .no
12244,1467979922,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,22,PP,7,220,10,237,,1
12244,1467979923,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,23,PP,7,220,10,237,,1
12244,1467979924,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,24,PP,7,220,10,237,,1
12244,1467979925,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,25,PP,7,220,10,237,,1
12244,1467979926,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,26,PP,7,220,10,237,,1
12244,1467979931,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,31,NP,7,220,10,237,,1
12244,1467979932,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,32,NP,7,220,10,237,,1
12244,1467979933,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,33,NP,7,220,10,237,,1
12244,1467979934,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,34,NP,7,220,10,237,,1
12244,1467979935,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,35,NP,7,220,10,237,,1
12244,1467979936,#NAME?,14,Narayangonj,67,Sonargaon,97,Sonargaon-Pourashava,99,Krisnonogor,36,NP,7,220,10,237,,1
,,#NAME?,,,,,,,,,,,,,,,,1
,,#NAME?,,,,,,,,,,,,,,,,1
12394,1404050511,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,11,UP,15,52,140,207,,1
12394,1404050512,#NAME?,14,Narayangonj,4,Bandar,5,Musapur,5,Dasargaon,12,UP,15,52,140,207,,1
