"Sl..No","Barcode","code128","PSU","District","PSU_UP","Upazila","PSU_Union","Union","PSU_VWC","VWC","HH_PSU","wealth","Ultra.poor","Poor","Non.Poor","Total","Remarks","Print.Sl..no"
11303,1434474934,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",34,"NP",16,79,128,223,NA,2
11303,1434474935,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",35,"NP",16,79,128,223,NA,2
11303,1434474936,NA,14,"Gazipur",34,"Kaligonj-Ga",47,"Tumulia",49,"Boali-1",36,"NP",16,79,128,223,NA,2
11312,1434485011,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",11,"UP",28,48,90,166,NA,2
11312,1434485012,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",12,"UP",28,48,90,166,NA,2
11312,1434485013,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",13,"UP",28,48,90,166,NA,2
11312,1434485014,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",14,"UP",28,48,90,166,NA,2
11312,1434485015,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",15,"UP",28,48,90,166,NA,2
11312,1434485016,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",16,"UP",28,48,90,166,NA,2
11312,1434485021,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",21,"PP",28,48,90,166,NA,2
11312,1434485022,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",22,"PP",28,48,90,166,NA,2
11312,1434485023,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",23,"PP",28,48,90,166,NA,2
11312,1434485024,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",24,"PP",28,48,90,166,NA,2
11312,1434485025,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",25,"PP",28,48,90,166,NA,2
11312,1434485026,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",26,"PP",28,48,90,166,NA,2
11312,1434485031,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",31,"NP",28,48,90,166,NA,2
11312,1434485032,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",32,"NP",28,48,90,166,NA,2
11312,1434485033,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",33,"NP",28,48,90,166,NA,2
11312,1434485034,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",34,"NP",28,48,90,166,NA,2
11312,1434485035,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",35,"NP",28,48,90,166,NA,2
11312,1434485036,NA,14,"Gazipur",34,"Kaligonj-Ga",48,"Jangalia",50,"Shiladi",36,"NP",28,48,90,166,NA,2
11581,1436515311,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",11,"UP",0,55,98,153,NA,2
11581,1436515312,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",12,"UP",0,55,98,153,NA,2
11581,1436515313,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",13,"UP",0,55,98,153,NA,2
11581,1436515314,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",14,"UP",0,55,98,153,NA,2
11581,1436515315,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",15,"UP",0,55,98,153,NA,2
11581,1436515316,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",16,"UP",0,55,98,153,NA,2
11581,1436515321,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",21,"PP",0,55,98,153,NA,2
11581,1436515322,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",22,"PP",0,55,98,153,NA,2
11581,1436515323,NA,14,"Gazipur",36,"Kapasia",51,"Singhsre",53,"Bitipara-26",23,"PP",0,55,98,153,NA,2
